段階	検証ID	検証内容	初期設定（前提データ）	操作・前提条件	使用する検証データ	期待値	スクショファイル名	スクショ（撮るもの）	スクショ貼付欄	画面	確認ポイント	ヘルプページ該当箇所	対応受入条件	実際の値	判定	所見・気づき	実施日	実施者	備考	計算根拠
計算	C-018	想定労働日数と日次の想定給与	C-000 S-05	（a）EMP-001（月給・未入力）と EMP-003（時給・15日を入力済み）と EMP-006（時給・所定120h・未入力）の月次と日次の想定給与を見る →（b）EMP-006に想定労働日数15を入力して保存し、日次が出るようになるか見る	（投入済み）02 従業員マスタ・05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 月別実績／日別実績／従業員詳細（想定労働日数の欄）】
（a）EMP-001は未入力のため営業日数20日が使われ、月次の想定給与＝320,000＋18,000＝338,000円、日次＝338,000÷20＝16,900円。EMP-003は15日が入っているので 月次＝1,200×120＋600×15＝153,000円、1日の想定勤務時間＝120÷15＝8時間、日次＝1,200×8＋600＝10,200円（×15日＝153,000円で月次と一致）。EMP-006は未入力のため月次は出るが、日次の想定給与と給与実績差分は「—」で理由が添えられる。ただし日次の給与は勤怠実績から 1,200×実働時間＋交通費＋深夜残業代＋ヘルプ人件費 で表示される（空欄=0件）（b）15を入力すると日次が 10,200円 になる。計算違い0件"	C-018.png	従業員詳細の想定労働日数の欄／日別実績でEMP-006が「—」になっていること／入力後に日次が出ること		従業員詳細（想定労働日数）→ 給与実績一覧 日別実績（想定給与）	時給者で未入力のとき日次の想定給与だけ「—」になり、給与は出るか／1日の想定勤務時間が 所定÷想定労働日数 か	操作手順 ＞ 毎月の人件費を確定する	AC-59						2026-08-13 判断26。判断24の既定値（所定÷8）は撤回。EMP-006・EMP-010 を空欄にしてある	1日の想定勤務時間＝所定労働時間÷想定労働日数。日次の想定給与＝月給者は月次÷想定労働日数／時給者は単位給与額×（所定÷想定労働日数）＋交通費÷想定労働日数。日次×想定労働日数＝月次（判断23・25・26）
計算	C-019	日別の概算モード（営業日でならした見込み）	C-000 S-05	給与実績一覧 → 日別実績タブ → 給与計算モードを「概算」に切り替える → 当月の全営業日ぶんの行が出ることと、日別の合計を確認する	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 日別実績タブ → 給与計算モード＝概算】
実績が無い日も含めて当月の全営業日に行が出る。1日あたり＝月次の概算給与÷当月の営業日数。日別を全部足すと月次の概算給与と一致する（差 0円）。実績モードに戻すと想定給与列は月次概算÷想定労働日数の額に変わる（同じ日でも額が違う）"	C-019.png	概算モードの日別（全営業日に行が出ている）／合計が月次の概算給与と一致していること／実績モードに戻したときの想定給与列		給与実績一覧 日別実績（概算モード ↔ 実績モード）	日別の合計が月次の概算給与と一致するか	操作手順 ＞ 毎月の人件費を確定する	AC-60						2026-08-13 判断21。営業日は所属店舗の休業日設定から求めるため、休業日設定が未設定の環境では実施できない旨を所見に残す	概算の日別＝月次の概算給与÷当月の営業日数、当月の全営業日に配分。端数は最大剰余で月次と一致させる
計算	C-013	単価の算式（深夜残業代・ヘルプ人件費・みなし差分）	C-000 S-03 S-07	深夜残業代÷深夜残業時間 と基礎時給の倍率、EMP-001の5/8（S02・実働11h・全時間がヘルプ）のヘルプ人件費、総労働−（所定＋みなし）を検算	05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 月別実績（深夜残業代・みなし差分）／日別実績（5/8）】
判断7（2026-08-07 確定）＝基礎時給×1.5（EMP-001は2,000×1.5＝3,000／h）。ヘルプ人件費＝按分（実績給与×ヘルプ時間÷総労働時間）にヘルプ先の交通費を加えた額。みなし労働時間差分＝172−(160＋20)＝−8h"	C-013.png	深夜残業代の列と、日別実績の5/8の行（ヘルプ人件費と計上先店舗）		給与実績一覧 → 月別実績（深夜残業代・みなし労働時間差分）／日別実績（5/8のヘルプ人件費）	深夜1.5倍とヘルプの按分単価	操作手順 ＞ 人件費の計算方法	AC-10 AC-14						再作成後は全行が算式どおり（EMP-001 深夜6h=18,000／EMP-002 2h=5,250／EMP-005 10h=32,812／EMP-007 4h=11,250）。みなし差分は5月は全員が未達のため超過支給0	深夜残業代＝基礎時給×1.5（判断7・確定＝時間外1.25＋深夜0.25）／ヘルプ人件費は月次按分（判断5）／みなし労働時間差分＝総労働−（所定＋みなし）、未達は減額なし（判断8・確定）
計算	C-017	交通費の計上先	C-000 S-03 S-04	EMP-001（単位交通費 月額18,000／ヘルプ先交通費 S02=700・S03=900）で2026-05の実績の全列と、5/8のS02勤務日を確認	05 月次給与実績・06 日次給与実績・03 ヘルプ先交通費	"【確認場所：給与実績一覧 → 月別実績・日別実績】
交通費の列は表示されない。所属店舗の交通費18,000は人件費（実績給与）に、ヘルプ先の交通費1,600はヘルプ人件費に含まれる。設定側（従業員詳細）では単位交通費・ヘルプ先交通費が入力項目として残っている"	C-017.png	月別実績の交通費・総支給額の列と、日別実績5/8の交通費（所属分と応援先分が別列）		給与実績一覧 → 月別実績（交通費・総支給額の列）／日別実績（5/8のS02勤務日の交通費）	交通費が給与と別費目か	ケース別 ＞ 応援（ヘルプ）勤務がある場合	AC-15						店舗別の交通費 S01=35,900／S02=9,700／S03=22,900／S04=30,000／S05=1,500（合計100,000円）	交通費は給与と別の独立費目（判断6・確定）。所属店舗交通費は所属店舗、ヘルプ先交通費は応援先店舗に計上。総支給額＝実績給与＋交通費
計算	C-008	締めの前後で数字が動かないこと	C-000 S-07	C-000のあと 2026-05を締める →（a）EMP-001に2026-05-10適用で340,000を保存し、勤怠も再取込 →（b）締めを解除する	05 月次給与実績・13 勤務データ 2026-05	"【確認場所：給与実績一覧 → 月別実績タブ】
（a）5月の実績給与・総労働時間の差分＝0円（357,600のまま動かない）　（b）解除後は改定が反映され、所定労働日割で 371,886円（概算334,286＝320,000×6/21＋340,000×15/21、＋深夜18,000＋所属店舗の交通費18,000＋ヘルプ先の交通費1,600）"	C-008.png	締め前・締め後・締め解除後の3枚（同じ従業員の同じ月）		給与実績一覧 → 月別実績タブ（2026-05の締め前・締め後・締め解除後）	締め前後で差0円・解除後に再計算	よくあるご質問 ＞ 数字・締めについて	AC-16 AC-17						★No-Go条件。締め前後を1ケースで完結させる（T-S05は操作の確認、金額の確認はここ）。暦日割で実装されていると351,548円になり、差738円で基準を判別できる ／ このケースは2026-05のEMP-001の実績給与を352,286円に変えるため、計算系検証の最後に実施する。先に実施すると C-013・C-017 の期待値（338,000円が前提）と合わなくなる	締め済み期間は再計算しない（原則②）。締め解除後は所定労働日割（判断1）で再計算
実装レビュー	R-01	データ構造のレビュー	S-01	テーブル定義（スキーマ）を提示してもらい、①設定履歴のUPDATE/DELETE ②従業員コードの制約 ③ヘルプ先交通費の持ち方 を確認する あわせて、従業員IDが主キーとして付番され、履歴・実績の外部キーが従業員IDになっていること、外部IDが別テーブルで管理されていることを確認する	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（テーブル定義・適用日付と履歴のスキーマ）】
①履歴テーブルへのUPDATE/DELETEが0箇所（INSERTのみ） ②従業員コードに一意制約が1件ある ③ヘルプ先交通費が「従業員×店舗」の多対多で保持されている（従業員に1つの値だけを持つ実装ではない） ④従業員IDが自動付番され、履歴・実績が従業員IDに紐づく（従業員コードや外部IDを外部キーにしている箇所=0件）"	R-01.png	画面ではなくテーブル定義を残す（スキーマ図またはDDL）		（画面ではなく実装物：テーブル定義・適用日付と履歴のスキーマ）	適用日付と履歴がテーブルにあるか	ケース別 ＞ 数字が合わないとき	AC-07 AC-40 AC-47 AC-55						★画面操作では判別できない。①が破られると過去が書き換わり得る（AC-03に連鎖）／③が単一値だと店舗ごとの実費が持てない	原則①：過去は不変／データ保全：二重登録を防ぐ／原則③：交通費も働いた店舗の実費で
実装レビュー	R-02	締めの実装レビュー	S-01	締めの実装を提示してもらい、①締め状態の保持 ②締め済み期間の再計算 ③締めAPIの権限 を確認する	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（締めのAPI・スコープ判定）】
①締め状態を保持する項目が1つある ②締め済み期間で再計算を行う経路が0箇所（設定変更・勤怠取込の両方） ③締めAPIが会社スコープ権限で制限され、画面側だけの制御が0箇所"	R-02.png	締めAPIのコードとスコープ判定箇所		（画面ではなく実装物：締めのAPI・スコープ判定）	APIでも店長が締められないか	よくあるご質問 ＞ どなたが操作できますか	AC-16 AC-41						★画面では判別できない。③が画面側だけだと、APIを直接呼べば店長でも締められる	原則②：締めたら動かない／原則②：締めは会社スコープのみ
実装レビュー	R-03	入力検証とトランザクションのレビュー	S-01	取込・登録の実装を提示してもらい、①必須チェック ②取込の検証 ③失敗時の巻き戻し を確認する	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（サーバ側の入力検証とトランザクション）】
①必須項目のサーバ側チェックが全項目にある（画面側だけが0箇所） ②コード欠落/負値/未登録店舗/型不正/未定義区分の5種をサーバ側で検証 ③取込失敗時に部分登録が残らない（トランザクション、または行単位で結果を明示する実装が1つに固定されている）"	R-03.png	サーバ側の検証コードと、APIを直接呼んだときの応答		（画面ではなく実装物：サーバ側の入力検証とトランザクション）	APIを直接呼んでも弾かれるか	よくあるご質問 ＞ 設定が保存できません	AC-23 AC-42 AC-43						★T-R10・T-I05・T-I18は画面の挙動を見るもの。画面側だけの実装でも合格してしまうため、ここで裏を取る	データ保全：不正値を入れない／データ保全：中途半端に残さない／データ保全：不完全な登録を作らない
実装レビュー	R-04	計算ロジックの共有レビュー	S-01	給与実績一覧・従業員詳細・エクスポートの3経路で、金額を計算している箇所を提示してもらう	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（人件費の計算ロジックが1箇所か）】
同じ集計ロジックを参照している（画面ごとの独自計算が0箇所）。ヘルプ人件費の按分と端数処理（所属店舗へ寄せる）も1箇所に集約されている"	R-04.png	計算ロジックの実装箇所（呼び出し元が複数でも実体が1つであること）		（画面ではなく実装物：人件費の計算ロジックが1箇所か）	計算ロジックが1箇所か	操作手順 ＞ 人件費の計算方法	AC-35 AC-11						★別計算だと、いま同じ数字でも改修のたびにずれる。AC-11（店舗別＝全社）が将来壊れる原因になる	計算：個人単位でも同じ数字／原則③：人件費は働いた店舗に付ける
実装レビュー	R-05	列マッピングの実装レビュー	S-01	取込の列解決の実装を提示してもらう	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（列名の対応づけがデータ側にあるか）】
CSVの列名がコードに直接書かれている箇所が0箇所。列の対応はマッピング設定から解決している"	R-05.png	列名の対応づけを保持している箇所（DBかコードか）		（画面ではなく実装物：列名の対応づけがデータ側にあるか）	列名がコードに埋まっていないか	ケース別 ＞ CSVの列名がラクミーと違うとき	AC-22 AC-24						★T-I04が合格しても、ジョブカンの列名をコードに埋め込んだ実装だと次の勤怠システムで開発が必要になる（K4・R5に直結）	入出力：表記ゆれを吸収／入出力：CSが自走できる
実装レビュー	R-06	設定更新処理の共通化レビュー	S-01	従業員詳細とモーダルの2経路で、設定を更新している処理を提示してもらう	（追加のデータ投入なし）	"【確認場所：実装物のレビュー（従業員詳細とモーダルで設定更新処理が共通か）】
設定更新の処理が1箇所に集約され、両方の画面から同じ処理を呼んでいる（画面ごとの独自更新=0箇所）。履歴の記録も同じ処理内で行われる"	R-06.png	従業員詳細とモーダルの更新処理の呼び出し先		（画面ではなく実装物：従業員詳細とモーダルで設定更新処理が共通か）	2つの入口で更新処理が共通か	操作手順 ＞ 従業員の設定を変更する	AC-49						★T-A09は画面の挙動を見るもの。別処理でたまたま両方に履歴が残る実装だと、改修時に片方が欠ける	原則①：どの入口から編集しても履歴が残る
